atleta_id,apelido,clube,posicao,preco_num,variacao_num,media_num,jogos_num,minimo_para_valorizar,CA,DS,FC,FD,FF,FS,SG,G,I,A,PS,V,GC,PC,CV,DE,GS,FT,PP,DP
102256,Rollheiser,SAN,Meia,7.66,1.33,3.58,20,2.87,2.0,12.0,11.0,4.0,9.0,10.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117403,Renato Marques,CFC,Atacante,2.73,0.0,0.74,7,1.02,0.0,0.0,3.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
113690,Diógenes,SAN,Goleiro,5.0,0.0,5.55,2,1.88,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0
141754,Gabriel Bontempo,SAN,Meia,5.55,0.26,3.82,21,2.08,2.0,34.0,10.0,3.0,9.0,25.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80570,Wendell,SAO,Lateral,8.27,-0.39,4.28,18,3.1,4.0,30.0,38.0,2.0,4.0,14.0,4.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104204,Edson Carioca,MIR,Atacante,6.38,2.24,3.02,15,2.39,5.0,15.0,15.0,2.0,9.0,8.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
77777,João Schmidt,SAN,Meia,4.96,0.93,2.08,14,1.86,2.0,20.0,20.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85403,Danielzinho,SAO,Meia,6.1,-0.17,2.5,23,2.29,2.0,20.0,20.0,1.0,4.0,34.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89840,Calleri,SAO,Atacante,10.92,0.0,5.02,22,4.09,5.0,15.0,35.0,7.0,19.0,41.0,0.0,7.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
91573,Arboleda,SAO,Zagueiro,8.7,-0.17,3.99,13,3.26,1.0,23.0,7.0,2.0,1.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91866,Zé Ivaldo,REM,Zagueiro,5.52,-0.15,2.49,9,2.07,3.0,11.0,3.0,3.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
104075,Sabino,SAO,Zagueiro,7.26,0.0,3.79,19,2.72,1.0,26.0,24.0,1.0,3.0,13.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
141868,Vini Lira,SAN,Lateral,3.79,0.0,2.42,4,1.42,1.0,7.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63008,Rafael Tolói,SAO,Zagueiro,7.74,0.82,4.49,7,2.9,3.0,15.0,8.0,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106028,Coronel,SAO,Goleiro,6.15,1.15,4.5,1,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0
106294,Marcos Antônio,SAO,Meia,7.1,0.0,3.06,19,2.66,1.0,22.0,14.0,4.0,8.0,18.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101290,Ferreira,SAO,Atacante,7.6,1.28,3.76,21,2.85,2.0,17.0,6.0,5.0,9.0,24.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118775,Lautaro Díaz,SAN,Atacante,5.26,0.0,2.28,8,1.97,0.0,2.0,2.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
81845,Alisson,FLU,Meia,3.52,0.0,0.96,8,1.32,3.0,3.0,5.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
70164,Lucas Moura,SAO,Meia,7.5,0.0,2.32,8,2.81,0.0,0.0,5.0,2.0,2.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77656,Cédric Soares,SAO,Lateral,3.73,0.0,0.94,8,1.4,1.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72391,Fernando Diniz,COR,Técnico,8.83,-0.1,5.37,20,3.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71123,Thiago Mendes,VAS,Meia,8.25,0.86,4.34,22,3.09,8.0,18.0,17.0,5.0,8.0,48.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125803,Pedro Morisco,CFC,Goleiro,7.83,0.0,4.55,10,2.94,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0,13.0,0.0,0.0,1.0
107873,Bobadilla,SAO,Meia,8.06,0.0,3.94,16,3.02,3.0,31.0,20.0,6.0,3.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
117818,Young,SAO,Goleiro,3.0,0.0,0.0,0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93716,Paulo Henrique,VAS,Lateral,7.07,-0.2,3.01,18,2.65,5.0,24.0,20.0,1.0,4.0,22.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
141609,Lucca,SAO,Atacante,2.05,0.0,0.23,4,0.77,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95936,Daniel Fuzato,VAS,Goleiro,1.59,0.0,-1.0,0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118563,Rodriguinho,RBB,Meia,6.13,0.0,3.64,14,2.3,3.0,16.0,17.0,3.0,10.0,7.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
131617,André Silva,SAO,Atacante,3.73,0.26,0.53,15,1.4,5.0,2.0,12.0,5.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113359,Pablo Maia,SAO,Meia,4.44,0.36,1.85,18,1.67,3.0,14.0,28.0,1.0,10.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97095,Carlos Cuesta,VAS,Zagueiro,4.47,-0.18,1.51,15,1.68,1.0,9.0,21.0,0.0,3.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
116706,Andrés Gómez,VAS,Atacante,11.8,0.19,6.88,22,4.43,8.0,41.0,28.0,14.0,28.0,33.0,0.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
111682,Adson,VAS,Meia,6.21,0.42,3.49,14,2.33,1.0,20.0,7.0,7.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105584,Lucas Piton,VAS,Lateral,4.81,-0.74,2.34,18,1.8,0.0,17.0,14.0,4.0,5.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99213,Puma Rodríguez,VAS,Lateral,6.92,-0.17,4.16,17,2.59,3.0,12.0,5.0,6.0,7.0,1.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
81091,Jair,VAS,Meia,5.81,-0.56,2.47,4,2.18,0.0,6.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140542,Ryan Francisco,SAO,Atacante,4.35,0.0,-0.3,1,1.63,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
